"Krasnushkin_DonNaKostylyah" "Kryukov_NaTihomDonu1898" "Kryukov_RechkeLazor1911" "Kryukov_Tatarnik1919" "Kryukov_Vglubine1913" "Kryukov_VojskovojKrugIRossiya1918" "Kryukov_Zyb1909" "Sholokhov_Celina" "Sholokhov_Don1-2" "Sholokhov_Don3-4" "Sholokhov_Sudba"
"лицо" 0.00677277345072807 0.02630800092078 0.0691836331290769 0 0.0215308429325008 0 0.0544810678289294 0.0573908849770919 0.0861824334976405 0.0702770261455787 0.0181603559429765
"тот" 0.0609549610565527 0.0427505014962676 0.0296501284838901 0 0.0287077905766677 0.206043956043956 0.036320711885953 0.0694477935857246 0.0840804229245273 0.0559691286069578 0.0454008898574412
"долго" 0.0270910938029123 0.0427505014962676 0.0593002569677802 0 0.0322962643987512 0.0686813186813187 0.113502224643603 0.0453339763684591 0.060432803977004 0.0887931288426173 0.0635612458004177
"аксинья" 0 0 0 0 0 0 0 0 0.124018623813678 0.102680205865396 0
"ней" 0.0338638672536404 0.0591930020717551 0.0691836331290769 0.0595592614651578 0.0681810026195859 0.206043956043956 0.0499409788431853 0.0612490957318544 0.0704173541992916 0.0622814363445847 0.036320711885953
"говорил" 0.00677277345072807 0.0526160018415601 0.098833761612967 0.0595592614651578 0.0717694764416694 0 0.0454008898574412 0.0655895828309621 0.0677898409829001 0.0605981542812175 0.0181603559429765
"пантелей" 0 0 0 0 0 0 0 0 0.115085078877947 0.104363487928764 0
"коня" 0 0.0394620013811701 0.0296501284838901 0 0.0394732120429181 0 0 0.0250783699059561 0.0825039149946924 0.0955262570960859 0
"того" 0.0541821876058246 0.0789240027623401 0.0395335046451868 0.119118522930316 0.061004054975419 0.0686813186813187 0.036320711885953 0.0665541355196528 0.0536012696143862 0.0593356927336922 0.0998819576863706
"дед" 0 0.0032885001150975 0 0 0.114831162306671 0 0 0.126838678562816 0.0483462431816032 0.0281949745613998 0
"пошел" 0.0135455469014561 0.0591930020717551 0.0296501284838901 0 0.0322962643987512 0 0.0590211568146736 0.060766819387509 0.0672643383396219 0.0605981542812175 0.0998819576863706
"прокофьевич" 0 0 0 0 0.00358847382208347 0 0 0 0.111932063018277 0.100576103286187 0
"себе" 0.0406366407043684 0.0855010029925351 0.0296501284838901 0.119118522930316 0.0287077905766677 0 0.0862616907291383 0.0660718591753074 0.051499259041273 0.0593356927336922 0.0998819576863706
"всех" 0.0135455469014561 0.108520503798218 0.0395335046451868 0.0595592614651578 0.107654214662504 0.206043956043956 0.0499409788431853 0.0588377140101278 0.0493972484681598 0.0597565132495339 0.0726414237719059
"такой" 0.00677277345072807 0.0591930020717551 0.0593002569677802 0.238237045860631 0.0466501596870851 0 0.0408608008716971 0.0800578731613214 0.0367851850294807 0.0563899491227996 0.163443203486788
"про" 0.0203183203521842 0.0361735012660725 0.0197667523225934 0 0.0251193167545843 0.0686813186813187 0.0454008898574412 0.0901856763925729 0.0415147088189854 0.0530233849960653 0.108962135657859
"лишь" 0.00677277345072807 0.0789240027623401 0.0691836331290769 0.178677784395473 0.104065740840421 0.137362637362637 0.140742758558068 0.0390643838919701 0.060432803977004 0.0538650260277489 0.0181603559429765
"несколько" 0.0812732814087369 0.18415600644546 0.0691836331290769 0 0.0179423691104173 0 0.0544810678289294 0.0501567398119122 0.0499227511114381 0.0521817439643818 0.0272405339144647
"сейчас" 0.00677277345072807 0.0723470025321451 0.0395335046451868 0.0595592614651578 0.061004054975419 0.206043956043956 0.104422046672115 0.0588377140101278 0.0520247616845513 0.0492360003534892 0.0635612458004177
